pdbid,-logKd/Ki,release_year
2r38,7.44,2008
4nvp,7.57,2014
5vd0,6.49,2017
1g7f,5.47,2001
4u8w,11.24,2014
6poi,3.49,2019
1enu,5.08,2000
2xeg,10.7,2010
5dkn,3.69,2016
2p3b,8.48,2007
3ckz,8.72,2008
5fsc,2.36,2017
1elr,4.96,2000
3p9m,5.0,2011
5cy9,6.66,2016
5el9,7.64,2016
4dkq,6.6,2012
2fxu,8.15,2006
1qy1,6.52,2004
5cqu,6.54,2015
1zvx,9.22,2006
1nfw,8.96,2003
1b32,7.1,1998
5kab,4.68,2017
5htl,6.3,2016
3g5k,9.52,2009
2pwg,4.82,2007
6mln,7.54,2019
3tza,5.5,2011
3t09,3.8,2012
4dy6,4.4,2012
4ajl,3.8,2012
4m3p,5.4,2014
1y3p,4.82,2005
2b1g,6.64,2006
2xn3,5.92,2011
4lbu,6.56,2014
6eqw,10.65,2018
1my4,6.98,2003
1hvl,9.95,1994
5mod,3.52,2017
3n3j,8.48,2011
5ufc,5.16,2017
5orw,3.1,2017
1mu8,9.0,2004
5vd1,6.0,2017
4rpn,6.96,2014
6guh,7.59,2018
4fsl,7.7,2012
5fnc,4.11,2016
5ty9,5.21,2017
4kb9,11.0,2013
2f7i,7.1,2005
1g53,9.04,2000
3o4k,7.62,2010
3b4p,5.4,2008
1oe8,5.52,2003
6p3v,7.02,2019
4axd,4.43,2012
5op5,6.67,2017
3qfy,6.12,2011
1c1u,8.25,2000
3c2f,2.0,2008
3ioe,3.27,2009
3hek,8.27,2009
4qjx,7.28,2015
5zyl,7.06,2019
4ymx,7.1,2015
4u5s,2.41,2015
5egu,5.85,2016
5wa5,6.72,2018
2qnp,6.41,2008
6qgf,6.0,2019
1r9l,5.4,2004
5oq8,5.85,2017
3ocz,7.46,2011
5fl4,7.0,2015
5lwm,8.87,2016
4yzu,5.05,2015
5jfu,8.07,2016
6mlg,5.05,2019
4xxh,5.0,2015
1dqn,8.0,2000
2vpe,4.94,2008
5osl,3.43,2018
5i29,7.82,2016
4umb,4.0,2014
6o5a,6.29,2019
5o9o,4.89,2018
6qr3,6.44,2019
2qd8,9.07,2008
6elo,6.29,2018
3ies,9.92,2010
