pdbid,-logKd/Ki,release_year
2r58,2.00,2007
3c2f,2.00,2008
3g2y,2.00,2009
3pce,2.00,1998
4qsu,2.00,2014
4qsv,2.00,2014
4u54,2.06,2015
3ao4,2.07,2011
4cs9,2.10,2014
2w8w,2.12,2009
3gv9,2.12,2009
6r9u,2.12,2019
6abx,2.14,2019
4q90,2.15,2015
5cs3,2.15,2015
4tim,2.16,1992
5fe6,2.16,2016
6ghj,2.16,2018
3gqz,2.17,2009
4y3j,2.17,2016
5oxk,2.17,2018
5z5f,2.17,2018
4ahr,2.19,2012
4ahs,2.19,2012
4mre,2.19,2014
1x8d,2.21,2005
4g0z,2.21,2012
1m0n,2.22,2002
2aac,2.22,1997
4aci,2.22,2012
4ury,2.22,2015
1ajp,2.23,1997
3ao5,2.23,2011
3i3b,2.23,2010
5m9w,2.24,2017
1ew8,2.26,2002
4np2,2.26,2014
1uto,2.27,2004
4ahu,2.27,2012
1ps3,2.28,2003
3ip8,2.28,2009
4ddk,2.29,2013
3dyo,2.30,2008
3kgq,2.30,2010
3mhw,2.30,2010
3pcg,2.30,1998
3rv4,2.30,2011
4g0y,2.30,2012
4jsz,2.30,2013
1m0o,2.31,2002
4y0a,2.31,2015
5mz8,2.31,2017
5aol,2.32,2015
4iie,2.34,2013
3gtc,2.35,2009
4y3y,2.35,2016
3g2z,2.36,2009
5fsc,2.36,2017
3t0d,2.37,2012
6rnt,2.37,1993
3f6e,2.38,2008
6md8,2.38,2019
1f73,2.39,2000
1nwl,2.39,2003
4u5s,2.41,2015
4u5o,2.42,2015
6mli,2.43,2019
1oba,2.44,2003
3mjl,2.44,2010
4ddm,2.46,2013
4x8u,2.46,2015
1utl,2.47,2004
4y4j,2.47,2016
6fhq,2.47,2018
1gyx,2.48,2002
4u5n,2.48,2015
5mn1,2.48,2017
4efk,2.49,2013
4kz7,2.49,2014
1ai4,2.50,1997
3g30,2.51,2009
3gr2,2.52,2009
3mfv,2.52,2010
3vdb,2.52,2012
4g0q,2.52,2012
4urz,2.52,2015
4hj2,2.53,2013
3b3s,2.55,2007
3ovn,2.55,2011
1gwv,2.57,2003
3kgp,2.57,2009
3gvb,2.59,2009
4o3c,2.59,2014
2r5a,2.60,2007
4up5,2.60,2014
5g46,2.60,2016
3f37,2.62,2009
5lvd,2.62,2017
1ajn,2.63,1997
4i8x,2.64,2013
4q7w,2.64,2015
4q8y,2.64,2015
4ufl,2.64,2015
6fhu,2.64,2018
5ey0,2.65,2016
3a1e,2.66,2009
3lvw,2.67,2010
4b3c,2.68,2013
4b3d,2.68,2013
3elc,2.69,2009
2fzc,2.70,2006
2uyn,2.70,2007
3bra,2.70,2008
6nmb,2.70,2019
1pfu,2.72,2004
2rkd,2.72,2008
5fsx,2.72,2016
2qwb,2.74,1998
2vyt,2.74,2008
4m6u,2.74,2014
4ndu,2.74,2014
5os2,2.74,2017
1rql,2.75,2004
4bt5,2.76,2013
5er4,2.76,2016
2bet,2.77,2004
3fcq,2.77,2009
4kz3,2.77,2014
4ykk,2.77,2015
6g24,2.77,2019
5os4,2.78,2017
2bza,2.80,1999
5fbi,2.80,2016
5fov,2.80,2016
3djx,2.81,2009
4rrg,2.81,2015
3lka,2.82,2010
3ppr,2.82,2011
4dsu,2.82,2012
4k7i,2.82,2014
6mj7,2.82,2018
3zt2,2.84,2012
3udh,2.85,2012
5th4,2.85,2017
3zt3,2.86,2012
1cet,2.89,1999
1iih,2.89,2001
3g31,2.89,2009
4b35,2.89,2013
4gqq,2.89,2012
4llx,2.89,2014
5flt,2.89,2016
5ngz,2.89,2017
5orv,2.89,2017
6b7b,2.89,2017
3c2u,2.90,2008
1h2k,2.92,2002
2fw6,2.92,2006
3alt,2.92,2011
3k8c,2.92,2010
4ai5,2.92,2012
4ef6,2.92,2013
4lm3,2.92,2014
4y2q,2.92,2015
5ct2,2.92,2015
6fv4,2.92,2018
1tng,2.93,1994
4zv2,2.93,2016
2vmc,2.94,2008
1f4e,2.96,2000
2w8j,2.96,2009
3g34,2.96,2009
3imc,2.96,2009
4dst,2.96,2012
4mrg,2.96,2014
4owm,2.96,2014
5fng,2.96,2016
6r9x,2.96,2019
4ceb,2.97,2013
5flq,2.97,2016
3ckb,2.98,2008
3djq,2.98,2009
4ibc,2.98,2014
5aba,2.98,2015
4bps,2.99,2013
1ecq,3.00,2000
1ws4,3.00,2005
2q8h,3.00,2007
2rka,3.00,2008
2v3u,3.00,2007
3ime,3.00,2009
4b2i,3.00,2013
4k0o,3.00,2013
4l51,3.00,2013
4llk,3.00,2014
4r3w,3.00,2014
4u0w,3.00,2015
5ehw,3.00,2016
6ftz,3.00,2018
6quv,3.00,2019
1utm,3.01,2004
4g0p,3.01,2012
2vmd,3.02,2008
4q81,3.02,2015
1ogd,3.03,2003
2ha3,3.03,2006
4lm2,3.03,2014
4qp2,3.03,2015
