pdbid,-logKd/Ki,release_year
4llx,2.89,2014
3uuo,7.96,2012
3ui7,9.0,2011
2v00,3.66,2007
3pww,7.32,2011
3prs,7.82,2011
3uri,9.0,2012
4m0z,5.19,2014
4ty7,9.52,2014
4agn,3.97,2012
4agp,4.69,2012
4agq,5.01,2012
3bgz,6.26,2007
3jya,6.89,2009
2c3i,7.6,2005
4k18,8.96,2013
3mss,4.66,2010
3k5v,6.3,2010
3pyy,6.86,2011
2v7a,8.3,2007
3zdg,7.1,2013
3u8k,8.66,2011
4qac,9.4,2014
3u8n,10.17,2011
1a30,4.3,1998
2qnq,6.11,2008
1g2k,7.96,2001
1eby,9.7,2002
3o9i,11.82,2011
4lzs,4.8,2014
3u5j,5.61,2011
4wiv,6.26,2014
4ogj,6.79,2014
3p5o,7.3,2010
1ps3,2.28,2003
3dx1,3.58,2009
3d4z,4.89,2008
3dx2,6.82,2009
3ejr,8.57,2009
3l7b,2.4,2010
4eky,3.52,2012
3g2n,4.09,2010
3syr,5.1,2012
3ebp,5.91,2009
2w66,4.05,2009
2wca,5.6,2009
2xj7,6.66,2010
2vvn,7.3,2008
3aru,3.22,2011
3ary,6.0,2011
3arq,6.4,2011
3arp,7.15,2011
4ih5,4.11,2013
4ih7,5.24,2013
3cj4,6.51,2008
4eo8,8.15,2012
3gnw,9.1,2009
1gpk,5.37,2002
1gpn,6.48,2002
1h23,8.35,2002
1h22,9.1,2002
1e66,9.89,2001
3f3a,4.19,2008
3f3c,6.02,2008
4mme,6.5,2013
3f3d,7.16,2008
3f3e,7.7,2008
2wbg,4.45,2009
2cbv,5.48,2006
2j78,6.42,2006
2j7h,7.19,2006
2cet,8.02,2006
3udh,2.85,2012
3rsx,4.41,2011
4djv,6.72,2012
2vkm,8.74,2008
4gid,10.77,2012
4jfs,5.27,2013
4j28,5.7,2013
2wvt,6.12,2010
2xii,7.2,2010
4pcs,7.85,2014
3rr4,4.55,2012
1s38,5.15,2004
1r5y,6.46,2004
3gc5,7.26,2009
3ge7,8.7,2009
4dli,5.62,2013
2zb1,6.32,2008
4f9w,6.94,2013
3e92,8.0,2008
3e93,8.85,2008
4owm,2.96,2014
3twp,3.92,2012
3r88,4.82,2012
3qqs,5.82,2012
3gv9,2.12,2009
3gr2,2.52,2009
4kz6,3.1,2014
4jxs,4.74,2014
2r9w,5.1,2008
2hb1,3.8,2006
1bzc,4.92,1999
2qbr,6.33,2008
2qbq,7.44,2008
2qbp,8.4,2008
1q8t,4.76,2003
1ydr,5.52,1997
1q8u,5.96,2003
1ydt,7.32,1997
3fcq,2.77,2009
1z9g,5.64,2005
1qf1,7.32,1999
5tmn,8.04,1989
4tmn,10.17,1989
4ddk,2.29,2013
4ddh,3.32,2013
3ivg,4.3,2009
3coz,5.57,2008
3coy,6.02,2008
3pxf,4.43,2011
4eor,6.3,2013
2xnb,6.83,2010
1pxn,7.15,2004
2fvd,8.52,2006
4k77,6.63,2013
4e5w,7.66,2012
4ivb,8.72,2013
4ivd,9.52,2013
4ivc,10.0,2013
4f09,6.7,2012
4gfm,7.22,2013
4hge,7.92,2012
4e6q,8.36,2012
4jia,9.22,2013
2brb,4.86,2005
2br1,5.14,2005
3jvr,5.72,2009
3jvs,6.54,2009
1nvq,8.25,2003
3acw,4.76,2010
4ea2,6.44,2012
2zcr,6.87,2008
2zy1,7.4,2009
2zcq,8.82,2008
1bcu,3.28,1998
3bv9,5.36,2008
1oyt,7.24,2003
2zda,8.4,2008
3utu,10.92,2012
3u9q,4.38,2011
2yfe,6.63,2012
3fur,8.0,2009
3b1m,8.48,2011
2p4y,9.0,2008
3uo4,6.52,2012
3up2,7.4,2012
2wtv,8.74,2010
3myg,10.7,2010
3kgp,2.57,2009
1c5z,4.01,2000
1o5b,5.77,2004
1owh,7.4,2003
1sqa,9.21,2004
4jsz,2.3,2013
3kwa,4.08,2010
2weg,6.5,2009
3ryj,7.8,2011
3dd0,9.0,2009
2xdl,3.1,2010
3b27,5.16,2011
1yc1,6.17,2005
3rlr,7.52,2011
2yki,9.46,2011
1z95,7.12,2005
3b68,8.4,2008
3b5r,8.77,2008
3b65,9.27,2008
4u4s,2.92,2014
1p1q,4.89,2003
1syi,5.44,2005
